Region,State,District,Latitude,Longitude
Southern Region,Andaman and Nicobar Islands,South Andaman,11.7232031,92.7011101945954
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,12.61123865,92.83165406414926
Southern Region,Andaman and Nicobar Islands,Nicobar,7.0000167,93.8110528187756
Southern Region,Andhra Pradesh,Visakhapatnam,17.7231276,83.3012842
Southern Region,Andhra Pradesh,East Godavari,16.99842865,81.71561488059287
Southern Region,Andhra Pradesh,Krishna,16.21399145,81.02572813603345
Southern Region,Andhra Pradesh,Guntur,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Chittoor,13.1601048,79.15555061803596
Southern Region,Andhra Pradesh,Anantapur,14.6546235,77.55625984224562
Southern Region,Andhra Pradesh,Kurnool,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,16.63713765,81.58909665667748
Southern Region,Andhra Pradesh,Spsr Nellore,14.71875825,79.65961022770595
Southern Region,Andhra Pradesh,Prakasam,15.6589741,79.47164372680194
North-Eastern Region,Arunachal Pradesh,Papum Pare,27.286366649999998,93.61877159710389
North-Eastern Region,Arunachal Pradesh,West Kameng,27.4,92.35
North-Eastern Region,Arunachal Pradesh,East Siang,28.3,95.15
North-Eastern Region,Arunachal Pradesh,Tawang,27.5879186,91.863733
North-Eastern Region,Arunachal Pradesh,Changlang,27.1398402,95.7382485
North-Eastern Region,Arunachal Pradesh,Lohit,27.8239052,95.861898
North-Eastern Region,Arunachal Pradesh,West Siang,28.4,94.55
North-Eastern Region,Arunachal Pradesh,Namsai,27.71403055,96.01597093953018
North-Eastern Region,Arunachal Pradesh,Lower Dibang Valley,28.21495625,95.87877403567019
North-Eastern Region,Arunachal Pradesh,Upper Subansiri,28.3,94.0
North-Eastern Region,Arunachal Pradesh,Tirap,27.03016895,95.49791754505583
North-Eastern Region,Arunachal Pradesh,Lower Subansiri,27.8,93.6
North-Eastern Region,Assam,Kamrup Metropolitan,26.13526375,91.86167062524618
North-Eastern Region,Assam,Dibrugarh,27.4844597,94.9019447
North-Eastern Region,Assam,Barpeta,26.34142215,91.01674328474073
North-Eastern Region,Assam,Nagaon,26.30414915,92.71605974430346
North-Eastern Region,Assam,Cachar,24.758639950000003,92.88166475768219
North-Eastern Region,Assam,Sonitpur,26.767770749999997,92.70140885850532
North-Eastern Region,Assam,Jorhat,26.7577925,94.2079645
North-Eastern Region,Assam,Tinsukia,27.52016575,95.5306347312879
North-Eastern Region,Assam,Kamrup,26.14688605,91.22273972821812
North-Eastern Region,Assam,Dhubri,26.01894625,89.94188952461522
North-Eastern Region,Assam,Golaghat,26.40490095,94.03209112120626
Eastern Region,Bihar,Patna,25.6093239,85.1235252
Eastern Region,Bihar,Muzaffarpur,26.1486581,85.34001282479626
Eastern Region,Bihar,Gaya,24.7964355,85.0079563
Eastern Region,Bihar,Purbi Champaran,26.6465969,84.9091552
Eastern Region,Bihar,Samastipur,25.7744929,85.86626813370123
Eastern Region,Bihar,Bhagalpur,25.2871758,87.13033088387233
Eastern Region,Bihar,Nalanda,25.1364914,85.44365464855682
Eastern Region,Bihar,Darbhanga,26.08314325,86.03257096612822
Eastern Region,Bihar,Vaishali,25.95322565,85.14457760191539
Eastern Region,Bihar,Pashchim Champaran,27.0,84.5
Eastern Region,Bihar,Saran,25.90835495,84.78074760594323
Eastern Region,Bihar,Madhubani,26.350071999999997,86.22914688962271
Northern Region,Chandigarh,Chandigarh,30.72984395,76.78414567016054
Central Region,Chhattisgarh,Raipur,21.2380912,81.6336993
Central Region,Chhattisgarh,Durg,21.1982964,81.40079215767969
Central Region,Chhattisgarh,Bilaspur,21.98934025,82.10996498737376
Central Region,Chhattisgarh,Raigarh,22.5,83.5
Central Region,Chhattisgarh,Janjgir Champa,21.986403,82.55366063452159
Central Region,Chhattisgarh,Korba,22.3547468,82.7110855
Central Region,Chhattisgarh,Rajnandgaon,21.06844245,80.797077941564
Central Region,Chhattisgarh,Surguja,23.25,83.0
Central Region,Chhattisgarh,Baloda Bazar,21.573184750000003,82.2994820805541
Central Region,Chhattisgarh,Mahasamund,21.19228455,82.48902633077708
Western Region,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,20.2733946,73.0044983
Western Region,Dadra and Nagar Haveli and Daman and Diu,Daman,20.42000485,72.86376290300566
Western Region,Dadra and Nagar Haveli and Daman and Diu,Diu,20.718174949999998,70.93238341010638
Northern Region,Delhi,West Delhi,28.58644805,76.97915298462692
Northern Region,Delhi,South East Delhi,28.5444411,77.27287301731174
Northern Region,Delhi,North West Delhi,28.737914449999998,77.01006262588218
Northern Region,Delhi,New Delhi,28.6138954,77.2090057
Northern Region,Delhi,Central Delhi,28.69854835,77.2193906890312
Northern Region,Delhi,South West Delhi,28.58644805,76.97915298462692
Northern Region,Delhi,North Delhi,28.72330795,77.26685650778668
Northern Region,Delhi,East Delhi,28.72330795,77.26685650778668
Northern Region,Delhi,South Delhi,28.485169399999997,77.19636520348229
Northern Region,Delhi,Shahdara Delhi,28.6734298,77.2898858
Southern Region,Goa,North Goa,15.60444125,74.00172406307475
Southern Region,Goa,South Goa,15.21961365,74.1152813019196
Western Region,Gujarat,Ahmadabad,23.0216238,72.5797068
Western Region,Gujarat,Surat,21.2094892,72.8317058
Western Region,Gujarat,Vadodara,22.2973142,73.1942567
Western Region,Gujarat,Rajkot,22.3053263,70.8028377
Western Region,Gujarat,Gandhinagar,23.2232877,72.6492267
Western Region,Gujarat,Bharuch,21.75,73.0
Western Region,Gujarat,Kachchh,23.583333,70.0
Western Region,Gujarat,Mahesana,23.6015557,72.3867981
Western Region,Gujarat,Banas Kantha,24.25,72.5
Western Region,Gujarat,Bhavnagar,21.7718836,72.1416449
Western Region,Gujarat,Valsad,20.43219565,73.14098929730321
Northern Region,Haryana,Gurugram,28.4646148,77.0299194
Northern Region,Haryana,Faridabad,28.4031478,77.3105561
Northern Region,Haryana,Hisar,29.080640950000003,75.788754109493
Northern Region,Haryana,Rewari,28.1956468,76.6165179
Northern Region,Haryana,Sonipat,28.9953758,77.0233627
Northern Region,Haryana,Panipat,29.3912753,76.9771675
Northern Region,Haryana,Karnal,29.6803266,76.9896254
Northern Region,Haryana,Sirsa,29.583333,75.083333
Northern Region,Haryana,Rohtak,28.9010899,76.5801935
Northern Region,Haryana,Bhiwani,28.7931703,76.1391283
Northern Region,Haryana,Ambala,30.3843674,76.770421
Northern Region,Haryana,Jhajjar,28.53364155,76.68981477716189
Northern Region,Haryana,Palwal,28.176958900000002,77.37311203790532
Northern Region,Himachal Pradesh,Solan,30.92589585,77.08200509063624
Northern Region,Himachal Pradesh,Kangra,32.166667,76.25
Northern Region,Himachal Pradesh,Shimla,31.1041526,77.1709729
Northern Region,Himachal Pradesh,Mandi,31.6723392,76.95331690779145
Northern Region,Himachal Pradesh,Sirmaur,30.75,77.5
Northern Region,Himachal Pradesh,Hamirpur,31.69255285,76.54105735900994
Northern Region,Himachal Pradesh,Kullu,32.00186325,77.37899639741332
Northern Region,Himachal Pradesh,Una,31.583333,76.25
Northern Region,Himachal Pradesh,Chamba,32.518429,76.23086565661742
Northern Region,Jammu and Kashmir,Jammu,32.7185614,74.8580917
Northern Region,Jammu and Kashmir,Srinagar,34.0747444,74.8204443
Northern Region,Jammu and Kashmir,Baramulla,34.205005650000004,74.36221081111597
Northern Region,Jammu and Kashmir,Budgam,33.9098746,74.6270356734338
Northern Region,Jammu and Kashmir,Anantnag,33.7368773,75.1455138
Northern Region,Jammu and Kashmir,Udhampur,33.0,75.166667
Northern Region,Jammu and Kashmir,Pulwama,33.8756947,74.9003129
Northern Region,Jammu and Kashmir,Kathua,32.4288215,75.56286458392415
Northern Region,Jammu and Kashmir,Kupwara,34.611023599999996,74.238478667319
Northern Region,Jammu and Kashmir,Samba,32.57591175,75.12034455530063
Northern Region,Jammu and Kashmir,Rajouri,33.3772495,74.3132332
Eastern Region,Jharkhand,Ranchi,23.3700501,85.3250387
Eastern Region,Jharkhand,Dhanbad,23.7952809,86.4309638
Eastern Region,Jharkhand,East Singhbhum,22.8092139,86.2091549
Eastern Region,Jharkhand,Bokaro,23.699127949999998,85.99106894165021
Eastern Region,Jharkhand,Hazaribagh,23.9675151,85.43884568595615
Eastern Region,Jharkhand,Giridih,24.1608897,86.25113503301655
Eastern Region,Jharkhand,Ramgarh,23.598775949999997,85.53691564663127
Eastern Region,Jharkhand,Deoghar,24.4766423,86.60673245386945
Eastern Region,Jharkhand,Palamu,23.916667,84.083333
Eastern Region,Jharkhand,Saraikela Kharsawan,22.7464225,85.91689291046393
Southern Region,Karnataka,Bengaluru Urban,12.94514225,77.55364499971128
Southern Region,Karnataka,Mysuru,12.3051828,76.6553609
Southern Region,Karnataka,Belagavi,15.8572666,74.5069343
Southern Region,Karnataka,Dharwad,15.4540505,75.0066516
Southern Region,Karnataka,Ballari,15.2485413,76.8323648
Southern Region,Karnataka,Bengaluru Rural,13.18077825,77.34174236923371
Southern Region,Karnataka,Dakshina Kannada,12.9324457,74.9813132
Southern Region,Karnataka,Tumakuru,13.3400771,77.1006208
Southern Region,Karnataka,Kalaburagi,17.166667,77.083333
Southern Region,Karnataka,Vijayapura,16.666667,75.916667
Southern Region,Karnataka,Kolar,13.1367201,78.1337246
Southern Region,Kerala,Ernakulam,9.98408,76.2741457
Southern Region,Kerala,Malappuram,11.10684475,76.10995510466662
