Region,State,Latitude,Longitude
Southern Region,Andaman and Nicobar Islands,12.61123865,92.83165406414926
Southern Region,Andhra Pradesh,15.9240905,80.1863809
North-Eastern Region,Arunachal Pradesh,28.0937702,94.5921326
North-Eastern Region,Assam,26.4073841,93.2551303
Eastern Region,Bihar,25.6440845,85.906508
Northern Region,Chandigarh,30.72984395,76.78414567016054
Central Region,Chhattisgarh,21.6637359,81.8406351
Western Region,Dadra and Nagar Haveli and Daman and Diu,20.718174949999998,70.93238341010638
Northern Region,Delhi,28.6273928,77.1716954
Southern Region,Goa,15.3004543,74.0855134
Western Region,Gujarat,22.3850051,71.745261
Northern Region,Haryana,29.0,76.0
Northern Region,Himachal Pradesh,31.81676015,77.34932051968858
Northern Region,Jammu and Kashmir,33.6649297,75.1629584
Eastern Region,Jharkhand,23.4559809,85.2557301
Southern Region,Karnataka,14.5203896,75.7223521
Southern Region,Kerala,10.3528744,76.5120396
Northern Region,Ladakh,33.9456407,77.6568576
Southern Region,Lakshadweep,10.8132489,73.6804620941119
Central Region,Madhya Pradesh,23.8143419,77.5340719
Western Region,Maharashtra,18.9068356,75.6741579
North-Eastern Region,Manipur,24.7208818,93.9229386
North-Eastern Region,Meghalaya,25.5379432,91.2999102
North-Eastern Region,Mizoram,23.2146169,92.8687612
North-Eastern Region,Nagaland,26.1630556,94.5884911
Eastern Region,Odisha,20.5431241,84.6897321
Southern Region,Puducherry,10.91564885,79.80694879844232
Northern Region,Punjab,30.9293211,75.5004841
Western Region,Rajasthan,26.8105777,73.7684549
Southern Region,Tamil Nadu,10.9094334,78.3665347
Southern Region,Telangana,17.8495919,79.1151663
North-Eastern Region,Tripura,23.7750823,91.7025091
Central Region,Uttar Pradesh,27.1303344,80.859666
Northern Region,Uttarakhand,30.0417376,79.089691
Eastern Region,West Bengal,22.9964948,87.6855882
