State,District,Latitude,Longitude
Andaman and Nicobar Islands,South Andaman,11.7232031,92.70111019
Andaman and Nicobar Islands,North and Middle Andaman,12.61123865,92.83165406
Andaman and Nicobar Islands,Nicobar,7.0000167,93.81105282
Andhra Pradesh,Anantapur,14.6546235,77.55625984
Andhra Pradesh,Chittoor,13.1601048,79.15555062
Andhra Pradesh,East Godavari,16.99842865,81.71561488
Andhra Pradesh,Guntur,16.2915189,80.4541588
Andhra Pradesh,Krishna,16.21399145,81.02572814
Andhra Pradesh,Kurnool,15.8309251,78.0425373
Andhra Pradesh,Nellore,14.4493717,79.9873763
Andhra Pradesh,Prakasam,15.6589741,79.47164373
Andhra Pradesh,Srikakulam,18.32002205,83.9160772
Andhra Pradesh,Visakhapatnam,17.7231276,83.3012842
Andhra Pradesh,Vizianagaram,18.1120819,83.40521962
Andhra Pradesh,West Godavari,16.63713765,81.58909666
Andhra Pradesh,YSR Kadapa,14.6919995,78.65883805
Arunachal Pradesh,Tawang,27.5879186,91.863733
Arunachal Pradesh,West Kameng,27.4,92.35
Arunachal Pradesh,East Kameng,27.3,93.05
Arunachal Pradesh,Kamle,27.761387,94.066189
Arunachal Pradesh,Pakke Kessang,27.145754,93.245956
Arunachal Pradesh,Shi Yomi,28.538687,94.390842
Arunachal Pradesh,Lepa Rada,27.915096,94.715326
Arunachal Pradesh,Papum Pare,27.28636665,93.6187716
Arunachal Pradesh,Kurung Kumey,27.98636765,93.15783469
Arunachal Pradesh,Kra Daadi,27.96354175,93.76656539
Arunachal Pradesh,Lower Subansiri,27.8,93.6
Arunachal Pradesh,Upper Subansiri,28.3,94
Arunachal Pradesh,West Siang,28.4,94.55
Arunachal Pradesh,East Siang,28.3,95.15
Arunachal Pradesh,Siang,28.4,94.55
Arunachal Pradesh,Upper Siang,28.73120455,95.03773151
Arunachal Pradesh,Lower Siang,27.80069825,94.56502334
Arunachal Pradesh,Lower Dibang Valley,28.21495625,95.87877404
Arunachal Pradesh,Dibang Valley,28.0463795,95.6622503
Arunachal Pradesh,Anjaw,28.1114301,96.82699963
Arunachal Pradesh,Lohit,27.8239052,95.861898
Arunachal Pradesh,Namsai,27.71403055,96.01597094
Arunachal Pradesh,Changlang,27.1398402,95.7382485
Arunachal Pradesh,Tirap,27.03016895,95.49791755
Arunachal Pradesh,Longding,26.8794546,95.31556525
Assam,Baksa,26.6275689,91.33885515
Assam,Barpeta,26.34142215,91.01674328
Assam,Biswanath,26.7773957,93.25694367
Assam,Bongaigaon,26.41237695,90.57149765
Assam,Cachar,24.75863995,92.88166476
Assam,Charaideo,27.06971635,95.06426298
Assam,Chirang,26.6464231,90.62415699
Assam,Darrang,26.75,92.5
Assam,Dhemaji,27.4668315,94.51786509
Assam,Dhubri,26.01894625,89.94188952
Assam,Dibrugarh,27.4844597,94.9019447
Assam,Goalpara,26.1783623,90.6226683
Assam,Golaghat,26.40490095,94.03209112
Assam,Hailakandi,24.68845365,92.57381528
Assam,Hojai,26.00939085,92.84879014
Assam,Jorhat,26.7577925,94.2079645
Assam,Kamrup Metropolitan,26.13526375,91.86167063
Assam,Kamrup,26.14688605,91.22273973
Assam,Karbi Anglong,26,93.5
Assam,Karimganj,24.8483482,92.33221292
Assam,Kokrajhar,26.58687695,90.29293105
Assam,Lakhimpur,27.0827158,93.9978423
Assam,Majuli,27.02195285,94.32742303
Assam,Morigaon,26.2551482,92.3290878
Assam,Nagaon,26.30414915,92.71605974
Assam,Nalbari,26.42386165,91.45122755
Assam,Dima Hasao,25.40036255,93.07522923
Assam,Sivasagar,26.9834936,94.6394226
Assam,Sonitpur,26.76777075,92.70140886
Assam,South Salmara-Mankachar,25.7604472,89.89280611
Assam,Tinsukia,27.52016575,95.53063473
Assam,Udalguri,26.7503815,92.0977245
Assam,West Karbi Anglong,25.85291415,92.58756812
Bihar,Araria,26.26498795,87.37162648
Bihar,Arwal,25.18077715,84.65920203
Bihar,Aurangabad,24.786306,84.41448983
Bihar,Banka,24.8655681,86.87278642
Bihar,Begusarai,25.5127194,86.09057109
Bihar,Bhagalpur,25.2871758,87.13033088
Bihar,Bhojpur,25.25,84.25
Bihar,Buxar,25.5620715,84.01567205
Bihar,Darbhanga,26.08314325,86.03257097
Bihar,East Champaran ,26.5475298,84.6717583
Bihar,Gaya,24.7964355,85.0079563
Bihar,Gopalganj,26.4207265,84.37406407
Bihar,Jamui,24.96785205,86.17351147
Bihar,Jehanabad,25.15247135,85.00687849
Bihar,Kaimur ,24.97587095,83.57643402
Bihar,Katihar,25.5591001,87.64745596
Bihar,Khagaria,25.4916868,86.69910848
Bihar,Kishanganj,26.1304353,87.94010318
Bihar,Lakhisarai,25.1677029,86.05935924
Bihar,Madhepura,25.9259562,86.82042961
Bihar,Madhubani,26.350072,86.22914689
Bihar,Munger ,25.22081165,86.51720367
Bihar,Muzaffarpur,26.1486581,85.34001282
Bihar,Nalanda,25.1364914,85.44365465
Bihar,Nawada,24.818124,85.51855623
Bihar,Patna,25.6093239,85.1235252
Bihar,Purnia ,26,87.5
Bihar,Rohtas,24.6723487,83.92090397
Bihar,Saharsa,25.83264165,86.61489283
Bihar,Samastipur,25.7744929,85.86626813
Bihar,Saran,25.90835495,84.78074761
Bihar,Sheikhpura,25.12635425,85.81510621
Bihar,Sheohar,26.49436945,85.2728056
Bihar,Sitamarhi,26.666667,85.5
Bihar,Siwan,26.1310043,84.39125661
Bihar,Supaul,26.2768118,86.79658663
Bihar,Vaishali,25.95322565,85.1445776
Bihar,West Champaran,26.6919717,84.5796928
Chandigarh ,Chandigarh,30.72984395,76.78414567
Chhattisgarh,Balod,20.7277192,81.14469475
Chhattisgarh,Baloda Bazar,21.57318475,82.29948208
Chhattisgarh,Balrampur,23.6282576,83.48109162
Chhattisgarh,Bastar,19.11912825,81.82918649
Chhattisgarh,Bemetara,21.6783867,81.44125784
Chhattisgarh,Bijapur,18.7935679,80.815939
Chhattisgarh,Bilaspur,21.98934025,82.10996499
Chhattisgarh,Dantewada ,18.8640648,81.38339469
Chhattisgarh,Dhamtari,20.7084545,81.5481305
Chhattisgarh,Durg,21.1982964,81.40079216
Chhattisgarh,Gariyaband,20.52675605,82.19172167
Chhattisgarh,Janjgir-Champa,21.986403,82.55366063
Chhattisgarh,Jashpur,22.770251,83.97080132
Chhattisgarh,Kabirdham ,22.11501055,81.24447647
Chhattisgarh,Kanker ,20.12868925,80.98453
Chhattisgarh,Kondagaon,19.5885769,81.6628742
Chhattisgarh,Korba,22.3547468,82.7110855
Chhattisgarh,Korea ,23.2382999,82.3906588
Chhattisgarh,Mahasamund,21.19228455,82.48902633
Chhattisgarh,Mungeli,22.0661098,81.6874282
Chhattisgarh,Narayanpur,19.5842032,81.11369855
Chhattisgarh,Raigarh,22.5,83.5
Chhattisgarh,Raipur,21.2380912,81.6336993
Chhattisgarh,Rajnandgaon,21.06844245,80.79707794
Chhattisgarh,Sukma,18.26654225,81.29252341
Chhattisgarh,Surajpur  ,23.3577769,82.97612767
Chhattisgarh,Surguja,23.25,83
