Region,State,District,Year,Quarter,Total_transaction_count,Total_transaction_amount,Latitude,Longitude
Southern Region,Andaman and Nicobar Islands,South Andaman,2018,Q1,5688,12560249.343665812,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,Nicobar,2018,Q1,528,1139848.801225994,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2018,Q1,442,931663.0770939873,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,South Andaman,2018,Q2,9395,23948235.51634325,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,Nicobar,2018,Q2,1120,3072436.9081196385,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2018,Q2,825,1317863.0834906558,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,South Andaman,2018,Q3,13511,44268112.46425246,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,Nicobar,2018,Q3,1471,6387829.151558982,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2018,Q3,1283,4901529.518499676,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,South Andaman,2018,Q4,20136,75411840.8018554,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2018,Q4,2137,7955635.917688001,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2018,Q4,1485,7180859.354911782,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2019,Q1,25683,85501972.38780196,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2019,Q1,3264,9561708.736298349,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2019,Q1,1539,7236059.549389593,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2019,Q2,28490,102530955.71341258,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2019,Q2,3371,8612103.13788812,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2019,Q2,1828,9111650.82436246,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2019,Q3,27421,91023888.32848613,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2019,Q3,4049,11481466.283356791,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2019,Q3,2300,11566421.475451011,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2019,Q4,27843,110930312.20611623,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2019,Q4,4716,13524056.784573946,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2019,Q4,2600,12384161.52668771,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2020,Q1,32713,134679396.90582758,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2020,Q1,5674,14697371.617857102,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2020,Q1,2911,12099543.773590053,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2020,Q2,48088,132855778.74838585,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2020,Q2,10979,22447714.061058953,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2020,Q2,3895,14341508.60470232,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2020,Q3,95323,282366109.20523936,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2020,Q3,16747,33486883.37042556,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2020,Q3,5413,22166453.754695382,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2020,Q4,186494,523122462.883029,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2020,Q4,29349,68941322.38839513,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2020,Q4,8688,35218871.04342848,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2021,Q1,207092,669604045.1248703,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2021,Q1,27358,75027255.27919498,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2021,Q1,10302,39075266.9856904,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2021,Q2,286907,760893020.5704947,11.7232031,92.70111019
