Region,State,Pincode,Year,Quarter,Total_transaction_count,Total_transaction_amount
Southern Region,Andaman and Nicobar Islands,744101,2018,Q1,1622,2769297.9039997994
Southern Region,Andaman and Nicobar Islands,744103,2018,Q1,1223,2238041.8716124697
Southern Region,Andaman and Nicobar Islands,744102,2018,Q1,969,3519059.937562449
Southern Region,Andaman and Nicobar Islands,744105,2018,Q1,685,1298560.9515503529
Southern Region,Andaman and Nicobar Islands,744104,2018,Q1,340,1039715.3111450541
Southern Region,Andaman and Nicobar Islands,744107,2018,Q1,302,556059.5308556345
Southern Region,Andaman and Nicobar Islands,744301,2018,Q1,283,445739.1633851439
Southern Region,Andaman and Nicobar Islands,744112,2018,Q1,269,333709.56700413954
Southern Region,Andaman and Nicobar Islands,744202,2018,Q1,193,238914.01667155625
Southern Region,Andaman and Nicobar Islands,744302,2018,Q1,168,547469.6509380838
Southern Region,Andaman and Nicobar Islands,744101,2018,Q2,2701,6310089.917084678
Southern Region,Andaman and Nicobar Islands,744103,2018,Q2,1965,4752146.698501162
Southern Region,Andaman and Nicobar Islands,744102,2018,Q2,1525,5810267.574788321
Southern Region,Andaman and Nicobar Islands,744105,2018,Q2,997,2200332.971862734
Southern Region,Andaman and Nicobar Islands,744301,2018,Q2,767,1953749.3787199226
Southern Region,Andaman and Nicobar Islands,744104,2018,Q2,659,1650346.1906506256
Southern Region,Andaman and Nicobar Islands,744107,2018,Q2,594,1601569.9821441039
Southern Region,Andaman and Nicobar Islands,744112,2018,Q2,432,578829.1795229593
Southern Region,Andaman and Nicobar Islands,744202,2018,Q2,405,626523.9803147907
Southern Region,Andaman and Nicobar Islands,744302,2018,Q2,291,1026590.0735863491
Southern Region,Andaman and Nicobar Islands,744101,2018,Q3,3462,10833893.444488766
Southern Region,Andaman and Nicobar Islands,744103,2018,Q3,3182,10184154.358592123
Southern Region,Andaman and Nicobar Islands,744102,2018,Q3,2224,10365275.479700703
Southern Region,Andaman and Nicobar Islands,744105,2018,Q3,1613,5152534.080403434
Southern Region,Andaman and Nicobar Islands,744104,2018,Q3,1029,2588077.6866583927
Southern Region,Andaman and Nicobar Islands,744301,2018,Q3,975,4256576.349618757
Southern Region,Andaman and Nicobar Islands,744112,2018,Q3,579,1145815.7801705198
Southern Region,Andaman and Nicobar Islands,744107,2018,Q3,547,1492405.302862124
Southern Region,Andaman and Nicobar Islands,744302,2018,Q3,417,1976781.9199490356
Southern Region,Andaman and Nicobar Islands,744202,2018,Q3,341,2099404.0789861116
Southern Region,Andaman and Nicobar Islands,744101,2018,Q4,4674,16392855.280625317
Southern Region,Andaman and Nicobar Islands,744103,2018,Q4,4576,17022520.257624768
Southern Region,Andaman and Nicobar Islands,744102,2018,Q4,3306,17019977.183053624
Southern Region,Andaman and Nicobar Islands,744105,2018,Q4,2513,9935282.832151461
Southern Region,Andaman and Nicobar Islands,744104,2018,Q4,1432,6091757.917089159
Southern Region,Andaman and Nicobar Islands,744211,2018,Q4,1225,3451359.606027063
Southern Region,Andaman and Nicobar Islands,744301,2018,Q4,928,4606293.657525641
Southern Region,Andaman and Nicobar Islands,744112,2018,Q4,759,2208675.0435713646
Southern Region,Andaman and Nicobar Islands,744107,2018,Q4,747,1825659.5128978956
Southern Region,Andaman and Nicobar Islands,744202,2018,Q4,702,3797054.1677634423
Southern Region,Andaman and Nicobar Islands,744103,2019,Q1,5742,19401964.77965755
Southern Region,Andaman and Nicobar Islands,744101,2019,Q1,5156,15501306.227195919
Southern Region,Andaman and Nicobar Islands,744102,2019,Q1,3925,16683547.094795756
Southern Region,Andaman and Nicobar Islands,744105,2019,Q1,3553,11588669.48032856
Southern Region,Andaman and Nicobar Islands,744104,2019,Q1,2833,9141657.219605077
Southern Region,Andaman and Nicobar Islands,744211,2019,Q1,1511,5794838.401831552
Southern Region,Andaman and Nicobar Islands,744202,2019,Q1,1112,3613381.294736007
Southern Region,Andaman and Nicobar Islands,744107,2019,Q1,1029,3592930.2975779255
Southern Region,Andaman and Nicobar Islands,744301,2019,Q1,920,4652963.41114777
Southern Region,Andaman and Nicobar Islands,744112,2019,Q1,802,1893718.6537822199
Southern Region,Andaman and Nicobar Islands,744104,2019,Q2,6142,15625676.560883244
Southern Region,Andaman and Nicobar Islands,744103,2019,Q2,5847,23751450.067206983
Southern Region,Andaman and Nicobar Islands,744101,2019,Q2,4863,19061125.41121897
Southern Region,Andaman and Nicobar Islands,744102,2019,Q2,4120,18948733.987097777
Southern Region,Andaman and Nicobar Islands,744105,2019,Q2,3500,13418692.199162653
Southern Region,Andaman and Nicobar Islands,744202,2019,Q2,1153,3619993.3910789257
Southern Region,Andaman and Nicobar Islands,744107,2019,Q2,1124,2967445.3902032813
Southern Region,Andaman and Nicobar Islands,744211,2019,Q2,1047,3168331.9917352106
Southern Region,Andaman and Nicobar Islands,744301,2019,Q2,1007,4849284.51925976
Southern Region,Andaman and Nicobar Islands,744112,2019,Q2,763,2928099.608406143
Southern Region,Andaman and Nicobar Islands,744103,2019,Q3,5680,19906337.014255583
Southern Region,Andaman and Nicobar Islands,744101,2019,Q3,5606,18745152.093515635
Southern Region,Andaman and Nicobar Islands,744104,2019,Q3,4786,15754793.354826454
Southern Region,Andaman and Nicobar Islands,744102,2019,Q3,3643,14572605.602745283
Southern Region,Andaman and Nicobar Islands,744105,2019,Q3,3512,11767223.99688773
