Region,State,District,Year,Quarter,Registered_user,Latitude,Longitude
Southern Region,Andaman and Nicobar Islands,South Andaman,2018,Q1,5846,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2018,Q1,632,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2018,Q1,262,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2018,Q2,8143,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2018,Q2,911,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2018,Q2,351,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2018,Q3,10474,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2018,Q3,1208,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2018,Q3,467,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2018,Q4,13133,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2018,Q4,1553,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2018,Q4,536,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2019,Q1,15961,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2019,Q1,2013,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2019,Q1,622,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2019,Q2,18621,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2019,Q2,2417,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2019,Q2,693,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2019,Q3,20518,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2019,Q3,2662,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2019,Q3,751,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2019,Q4,22202,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2019,Q4,2955,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2019,Q4,803,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2020,Q1,24174,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2020,Q1,3315,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2020,Q1,879,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2020,Q2,27626,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2020,Q2,4100,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2020,Q2,984,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2020,Q3,34833,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2020,Q3,5355,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2020,Q3,1147,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2020,Q4,43908,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2020,Q4,7076,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2020,Q4,1412,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2021,Q1,48352,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2021,Q1,7833,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2021,Q1,1573,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2021,Q2,51903,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2021,Q2,8493,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2021,Q2,1699,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2021,Q3,55873,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2021,Q3,9263,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2021,Q3,1846,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2021,Q4,59807,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2021,Q4,10002,12.61123865,92.83165406
Southern Region,Andaman and Nicobar Islands,Nicobar,2021,Q4,1971,7.0000167,93.81105282
Southern Region,Andaman and Nicobar Islands,South Andaman,2022,Q1,63487,11.7232031,92.70111019
Southern Region,Andaman and Nicobar Islands,North and Middle Andaman,2022,Q1,10720,12.61123865,92.83165406
