Region,State,Pincode,Year,Quarter,Registered_user
Southern Region,Andaman and Nicobar Islands,744103,2018,Q1,1608
Southern Region,Andaman and Nicobar Islands,744101,2018,Q1,1108
Southern Region,Andaman and Nicobar Islands,744105,2018,Q1,1075
Southern Region,Andaman and Nicobar Islands,744102,2018,Q1,1006
Southern Region,Andaman and Nicobar Islands,744104,2018,Q1,272
Southern Region,Andaman and Nicobar Islands,744202,2018,Q1,237
Southern Region,Andaman and Nicobar Islands,744112,2018,Q1,215
Southern Region,Andaman and Nicobar Islands,744301,2018,Q1,207
Southern Region,Andaman and Nicobar Islands,744107,2018,Q1,196
Southern Region,Andaman and Nicobar Islands,744211,2018,Q1,156
Southern Region,Andaman and Nicobar Islands,744103,2018,Q2,2188
Southern Region,Andaman and Nicobar Islands,744101,2018,Q2,1521
Southern Region,Andaman and Nicobar Islands,744105,2018,Q2,1492
Southern Region,Andaman and Nicobar Islands,744102,2018,Q2,1419
Southern Region,Andaman and Nicobar Islands,744104,2018,Q2,396
Southern Region,Andaman and Nicobar Islands,744202,2018,Q2,343
Southern Region,Andaman and Nicobar Islands,744112,2018,Q2,299
Southern Region,Andaman and Nicobar Islands,744107,2018,Q2,293
Southern Region,Andaman and Nicobar Islands,744301,2018,Q2,273
Southern Region,Andaman and Nicobar Islands,744211,2018,Q2,240
Southern Region,Andaman and Nicobar Islands,744103,2018,Q3,2741
Southern Region,Andaman and Nicobar Islands,744101,2018,Q3,1978
Southern Region,Andaman and Nicobar Islands,744105,2018,Q3,1935
Southern Region,Andaman and Nicobar Islands,744102,2018,Q3,1803
Southern Region,Andaman and Nicobar Islands,744104,2018,Q3,507
Southern Region,Andaman and Nicobar Islands,744202,2018,Q3,446
Southern Region,Andaman and Nicobar Islands,744112,2018,Q3,388
Southern Region,Andaman and Nicobar Islands,744107,2018,Q3,384
Southern Region,Andaman and Nicobar Islands,744301,2018,Q3,372
Southern Region,Andaman and Nicobar Islands,744211,2018,Q3,327
Southern Region,Andaman and Nicobar Islands,744103,2018,Q4,3373
Southern Region,Andaman and Nicobar Islands,744101,2018,Q4,2498
Southern Region,Andaman and Nicobar Islands,744105,2018,Q4,2416
Southern Region,Andaman and Nicobar Islands,744102,2018,Q4,2231
Southern Region,Andaman and Nicobar Islands,744104,2018,Q4,634
Southern Region,Andaman and Nicobar Islands,744202,2018,Q4,554
Southern Region,Andaman and Nicobar Islands,744107,2018,Q4,548
Southern Region,Andaman and Nicobar Islands,744112,2018,Q4,496
Southern Region,Andaman and Nicobar Islands,744211,2018,Q4,433
Southern Region,Andaman and Nicobar Islands,744301,2018,Q4,425
Southern Region,Andaman and Nicobar Islands,744103,2019,Q1,4136
Southern Region,Andaman and Nicobar Islands,744101,2019,Q1,3030
Southern Region,Andaman and Nicobar Islands,744105,2019,Q1,2994
